ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-158019,Source2,2,2016-06-23 17:37:56,2016-06-23 18:52:56,34.301624,-82.222153,,,0.0,Accident on US-25 at SC-254 Cokesbury Rd.,Highway 25 N,Hodges,Greenwood,SC,29653-9670,US,US/Eastern,KGRD,2016-06-23 17:56:00,96.1,,27.0,29.94,10.0,West,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-183180,Source2,2,2017-01-20 18:05:08,2017-01-20 18:34:57,43.03706,-83.74266800000002,,,0.0,Accident on Mallery St near Highfield Ave.,Highfield Ave,Flint,Genesee,MI,48504-2457,US,US/Eastern,KFNT,2017-01-20 17:53:00,36.0,,100.0,29.71,0.2,Calm,,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-17390,Source2,3,2016-11-17 20:11:03,2016-11-17 20:40:44,37.823383,-122.263908,,,0.01,#1 lane blocked due to accident on I-980 Westbound at Exits 2A 2B I-580.,I-580 W,Oakland,Alameda,CA,94609,US,US/Pacific,KOAK,2016-11-17 19:53:00,53.1,,61.0,30.07,10.0,NE,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-82514,Source2,3,2016-10-08 09:27:15,2016-10-08 10:11:50,33.957836,-118.111847,,,0.0,Accident on I-5 Southbound at Exit 125 Vista del Rosa St.,Lakewood Blvd,Downey,Los Angeles,CA,90240,US,US/Pacific,KCQT,2016-10-08 09:47:00,78.1,,25.0,29.89,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-45213,Source2,2,2016-06-29 10:39:53,2016-06-29 11:22:00,33.903584,-118.193962,,,0.0,Accident on Atlantic Ave both ways at Rosecrans Ave.,S Atlantic Ave,Compton,Los Angeles,CA,90221-1901,US,US/Pacific,KLGB,2016-06-29 10:53:00,77.0,,60.0,29.91,8.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-92401,Source2,2,2016-08-25 12:46:34,2016-08-25 13:23:00,33.734333,-117.834007,,,0.0,Right hand shoulder blocked due to accident on CA-55 Southbound at Exits 10 10A McFadden Ave.,CA-55 S,Tustin,Orange,CA,92780,US,US/Pacific,KSNA,2016-08-25 12:53:00,73.9,,62.0,29.93,10.0,SW,13.8,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-24855,Source2,3,2016-10-16 13:55:08,2016-10-16 14:39:49,37.701103,-122.02116399999998,,,0.01,Accident on I-580 Eastbound at Exit 39 Eden Canyon Rd.,Paloverde Rd,Castro Valley,Alameda,CA,94552,US,US/Pacific,KHWD,2016-10-16 13:54:00,63.0,,87.0,29.79,1.8,WNW,9.2,0.27,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-23243,Source2,2,2016-10-05 12:00:05,2016-10-05 12:29:37,37.251087,-121.931229,,,0.0,Accident on CA-85 Northbound at Exit 9 Union Ave.,Norman Y Mineta Hwy,San Jose,Santa Clara,CA,95124,US,US/Pacific,KSJC,2016-10-05 11:53:00,66.9,,45.0,30.09,10.0,WNW,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1412,Source2,3,2016-06-27 11:04:36,2016-06-27 11:49:36,38.704079,-121.312958,,,0.0,#2 lane blocked due to accident on I-80 Eastbound at Exit 100 Antelope Rd.,I-80 E,Citrus Heights,Sacramento,CA,95621,US,US/Pacific,KMCC,2016-06-27 10:55:00,91.4,,23.0,29.97,9.0,West,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-45229,Source2,2,2016-06-29 11:42:22,2016-06-29 12:27:22,33.99258,-118.348228,,,0.0,Accident and fallen power cables on Angeles Vista Blvd both ways at Verdun Ave.,S Verdun Ave,Los Angeles,Los Angeles,CA,90043-1540,US,US/Pacific,KHHR,2016-06-29 11:53:00,75.9,,64.0,29.91,8.0,WSW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-144193,Source2,2,2016-07-15 07:04:09,2016-07-15 07:49:09,28.731142,-81.60652900000002,,,0.0,Accident on Jones Ave at US-441 Orange Blossom Trl.,N Orange Blossom Trl,Mount Dora,Orange,FL,32757,US,US/Eastern,KLEE,2016-07-15 06:53:00,81.0,,79.0,30.06,10.0,South,6.9,,Partly Cloudy,False,False,True,False,False,False,True,False,True,False,False,False,False,Day,Day,Day,Day
A-3677,Source2,3,2016-07-21 14:37:45,2016-07-21 15:52:45,38.641544,-121.47156499999998,,,0.0,Accident on I-80 Westbound at Exit 90 Norwood Ave.,I-80 W,Sacramento,Sacramento,CA,95838,US,US/Pacific,KMCC,2016-07-21 14:35:00,89.6,,16.0,30.02,9.0,SW,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-152474,Source2,2,2016-11-28 08:51:58,2016-11-28 09:42:00,34.193672,-81.563393,,,0.0,Accident on Counts Sausage Rd at Fire Tower Rd.,Fire Tower Rd,Prosperity,Newberry,SC,29127,US,US/Eastern,KEOE,2016-11-28 08:55:00,42.8,,76.0,30.2,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-105526,Source2,3,2016-04-29 22:52:11,2016-04-29 23:50:00,34.296768,-118.416588,,,0.01,Accident on I-210 Westbound at Exit 5 Maclay St.,Foothill Fwy W,Sylmar,Los Angeles,CA,91342,US,US/Pacific,KWHP,2016-04-29 19:47:00,59.0,,63.0,29.93,10.0,ESE,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-79004,Source2,2,2016-09-22 18:48:49,2016-09-22 19:33:17,33.876293,-118.100624,,,0.0,#3 lane blocked and right hand shoulder blocked due to accident on CA-91 Eastbound after I-605.,Artesia Fwy E,Cerritos,Los Angeles,CA,90703,US,US/Pacific,KFUL,2016-09-22 18:53:00,69.1,,58.0,29.85,10.0,South,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-62827,Source2,3,2017-01-14 10:19:19,2017-01-14 11:00:00,34.056065000000004,-117.546593,,,0.01,Accident on I-15 Southbound at Exits 109 109A 109B I-10.,Ontario Fwy S,Ontario,San Bernardino,CA,91761,US,US/Pacific,KONT,2017-01-14 09:53:00,60.1,,60.0,30.02,10.0,WNW,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-171865,Source2,2,2016-11-17 16:38:28,2016-11-17 17:23:11,41.90416,-88.120651,,,0.01,Slow traffic due to accident on Gary Ave at IL-64 North Ave.,North Ave,Carol Stream,DuPage,IL,60188,US,US/Central,KDPA,2016-11-17 16:52:00,66.9,,57.0,29.72,10.0,South,16.1,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-70889,Source2,3,2016-11-10 15:12:39,2016-11-10 15:42:15,34.064995,-118.000229,,,0.01,1 right lane blocked due to accident on I-10 Eastbound at Exits 31A 31B I-605.,I-605 S,Baldwin Park,Los Angeles,CA,91706,US,US/Pacific,KEMT,2016-11-10 14:45:00,91.4,,12.0,29.97,10.0,SW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-28314,Source2,2,2016-08-22 21:48:53,2016-08-22 22:48:53,38.636566,-121.309509,,,0.0,Accident on Fair Oaks Blvd at Marshall Ave.,Fair Oaks Blvd,Carmichael,Sacramento,CA,95608-1905,US,US/Pacific,KMCC,2016-08-22 21:55:00,68.0,,56.0,29.91,10.0,South,12.7,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-198421,Source2,2,2016-12-30 11:13:51,2016-12-30 11:43:40,41.095097,-74.048302,,,0.01,Accident on NY-45 Chestnut Ridge Rd both ways near Tallman Pl.,Tallman Pl,Spring Valley,Rockland,NY,10977-6220,US,US/Eastern,KHPN,2016-12-30 10:56:00,37.9,29.6,53.0,29.62,10.0,West,13.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-88865,Source2,3,2016-08-11 23:05:11,2016-08-11 23:35:11,33.8396,-118.263474,,,0.0,One lane blocked due to accident on I-405 Southbound at Exit 35 Avalon Blvd.,Avalon Blvd,Carson,Los Angeles,CA,90746,US,US/Pacific,KHHR,2016-08-11 22:53:00,69.1,,81.0,30.02,10.0,West,6.9,,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-160953,Source2,3,2016-12-05 09:30:52,2016-12-05 10:00:39,41.185158,-96.108849,,,0.01,Accident on I-80 Westbound at Exit 442 Giles Rd.,Giles Rd,La Vista,Sarpy,NE,68128,US,US/Central,KMLE,2016-12-05 09:36:00,38.7,30.9,76.0,29.75,10.0,SSE,12.7,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-187281,Source2,2,2016-09-20 16:24:13,2016-09-20 16:53:58,43.030666,-83.713081,,,0.0,Accident on Dupont St at Welch Blvd.,Welch Blvd,Flint,Genesee,MI,48504-3143,US,US/Eastern,KFNT,2016-09-20 16:53:00,79.0,,35.0,30.16,10.0,WNW,4.6,,Clear,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-165613,Source2,2,2016-03-29 11:00:06,2016-03-29 11:45:06,41.147312,-96.138885,,,0.01,Shoulder blocked on exit ramp due to accident on NE-370 Westbound at NE-50 144th St.,S 144th St,Omaha,Sarpy,NE,68138-3849,US,US/Central,KMLE,2016-03-29 10:55:00,55.2,,45.0,30.03,10.0,SE,13.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-8861,Source2,3,2016-12-28 18:36:56,2016-12-28 19:06:29,38.069607,-122.227264,,,0.01,Middle lane blocked due to accident on I-80 Eastbound at I-80 / TP.,I-80 W,Vallejo,Solano,CA,94590,US,US/Pacific,KAPC,2016-12-28 18:54:00,48.0,,71.0,30.2,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-166193,Source2,3,2016-04-29 17:17:28,2016-04-29 17:47:28,41.256664,-95.954002,,,0.01,Accident on I-480 Southbound at Exit 2A 29th St.,Harney St,Omaha,Douglas,NE,68105,US,US/Central,KOMA,2016-04-29 17:12:00,48.9,,80.0,30.02,10.0,NE,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-15609,Source2,2,2016-11-07 20:55:06,2016-11-07 21:24:41,37.550369,-122.312004,,,0.01,Accident on CA-92 Westbound at Exits 12A 12B CA-82 El Camino Real.,S El Camino Real,San Mateo,San Mateo,CA,94402,US,US/Pacific,KSQL,2016-11-07 20:47:00,64.4,,88.0,30.14,10.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-136879,Source2,2,2016-08-10 20:50:26,2016-08-10 21:35:26,28.62704500000001,-82.446838,,,0.0,Accident on County Hwy-491 Citrus Way at County Hwy-491 Citrus Way.,Citrus Way,Brooksville,Hernando,FL,34601-8427,US,US/Eastern,KBKV,2016-08-10 20:53:00,75.9,,97.0,30.15,6.0,Calm,,,Thunderstorms and Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-182224,Source2,2,2017-01-09 14:45:36,2017-01-09 15:45:16,42.814793,-83.78227199999998,,,0.01,Accident on Bridge St at Broad St.,N Bridge St,Linden,Genesee,MI,48451-8822,US,US/Eastern,KFNT,2017-01-09 14:53:00,27.0,16.7,61.0,30.32,10.0,SW,11.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-66115,Source2,2,2016-10-21 21:52:25,2016-10-21 22:36:54,34.025005,-117.729713,,,0.01,#1 / #2 lane blocked due to accident on CA-60 Eastbound at Exit 30 Reservoir St.,Pomona Fwy E,Pomona,Los Angeles,CA,91766,US,US/Pacific,KPOC,2016-10-21 20:47:00,71.6,,25.0,29.91,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-86333,Source2,2,2016-08-04 12:06:04,2016-08-04 12:51:04,33.399879,-117.08371,,,0.0,Accident on Pala Temecula Rd Northbound at Aruba Rd.,Pala Temecula Rd,Pala,San Diego,CA,92059-1701,US,US/Pacific,KF70,2016-08-04 12:15:00,86.0,,40.0,29.91,10.0,SW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-90865,Source2,2,2016-08-19 01:33:12,2016-08-19 02:18:12,34.107983000000004,-117.746422,,,0.0,Accident on Equation Rd after Fair Oaks Walk.,Fair Oaks Walk,Pomona,Los Angeles,CA,91767,US,US/Pacific,KPOC,2016-08-19 06:47:00,60.8,,94.0,29.95,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-8589,Source2,3,2016-12-25 21:43:06,2016-12-25 22:27:26,37.780056,-122.398621,,,0.01,Accident on I-80 Eastbound at 4th St.,4th St,San Francisco,San Francisco,CA,94107-1241,US,US/Pacific,KOAK,2016-12-25 21:53:00,43.0,37.2,80.0,30.15,10.0,NE,10.4,,Clear,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-41786,Source2,2,2016-06-10 11:40:28,2016-06-10 12:10:28,37.893341,-121.853035,,,0.0,Right hand shoulder blocked due to accident on Marsh Creek Rd at Aspara Dr.,Marsh Creek Rd,Clayton,Contra Costa,CA,94517-9738,US,US/Pacific,KCCR,2016-06-10 11:53:00,75.9,,21.0,29.95,10.0,WSW,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-157332,Source2,3,2016-09-04 14:00:16,2016-09-04 14:30:16,33.846484999999994,-84.247078,,,0.0,Accident on I-285 Southbound at Exit 37 GA-236 Lavista Rd.,I-285 N,Tucker,DeKalb,GA,30084,US,US/Eastern,KPDK,2016-09-04 13:53:00,84.0,,49.0,30.16,10.0,Variable,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-60152,Source2,2,2017-01-02 21:22:52,2017-01-02 22:07:38,33.704269000000004,-117.033844,,,0.01,Accident on Domenigoni Pkwy Westbound at Warren Rd.,Warren Rd,Winchester,Riverside,CA,92596,US,US/Pacific,KF70,2017-01-02 21:15:00,46.4,,87.0,30.14,10.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-172064,Source2,2,2016-11-21 17:13:09,2016-11-21 17:57:49,42.047588,-88.34119399999999,,,0.01,Lane blocked and very slow traffic due to accident on County Hwy-34 Randall Rd at County Hwy-47 Highland Ave.,Randall Rd,Elgin,Kane,IL,60123,US,US/Central,KDPA,2016-11-21 16:52:00,36.0,,41.0,30.29,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-184678,Source2,2,2016-11-04 13:41:23,2016-11-04 14:11:14,43.063583,-83.51804399999997,,,0.0,Accident on M-15 State Rd at Richfield Rd.,N State Rd,Davison,Genesee,MI,48423,US,US/Eastern,KFNT,2016-11-04 13:53:00,52.0,,63.0,30.4,10.0,NNW,12.7,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-110446,Source2,3,2016-05-29 16:58:49,2016-05-29 17:28:49,34.120468,-118.271271,,,0.01,Accident on I-5 Northbound at Exits 141 141A 141B Los Feliz Blvd.,Golden State Fwy S,Los Angeles,Los Angeles,CA,90027,US,US/Pacific,KCQT,2016-05-29 16:47:00,68.0,,61.0,29.96,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-92497,Source2,2,2016-08-25 18:15:20,2016-08-25 19:00:20,32.673313,-117.03933700000002,,,0.0,Right hand shoulder blocked due to accident on CA-54 Eastbound at Exit 4 Woodman St.,CA-54 W,Bonita,San Diego,CA,91902,US,US/Pacific,KSDM,2016-08-25 17:53:00,70.0,,68.0,29.91,10.0,WNW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-34464,Source2,2,2016-04-13 13:31:06,2016-04-13 14:31:06,38.502121,-121.43196100000002,,,0.01,Accident on Stockton Blvd at Jastraub Way.,Stockton Blvd,Sacramento,Sacramento,CA,95823-2322,US,US/Pacific,KSAC,2016-04-13 13:53:00,68.0,,40.0,30.13,10.0,Variable,4.6,,Clear,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-148329,Source2,2,2016-12-31 09:48:28,2016-12-31 10:33:17,33.937121999999995,-81.561584,,,0.0,Accident on Old Golf Course Rd at Plantation Ln.,Plantation Ln,Batesburg,Lexington,SC,29006-8292,US,US/Eastern,KAIK,2016-12-31 09:55:00,37.4,33.8,65.0,30.3,10.0,SSW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-97858,Source2,2,2016-03-25 22:20:54,2016-03-25 23:05:54,34.026886,-117.720566,,,0.01,Accident on CA-60 Eastbound in Ontario.,Pomona Fwy E,Chino,San Bernardino,CA,91710,US,US/Pacific,KCNO,2016-03-25 21:53:00,63.0,,48.0,29.82,10.0,WNW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-50494,Source2,2,2016-07-21 20:41:20,2016-07-21 21:11:20,33.996613,-118.204689,,,0.0,Accident on Fruitland Ave at Downey Rd.,S Downey Rd,Vernon,Los Angeles,CA,90058-3746,US,US/Pacific,KCQT,2016-07-21 20:47:00,73.9,,59.0,29.9,10.0,Calm,,,Clear,False,False,True,False,False,False,True,False,False,False,False,True,False,Night,Night,Day,Day
A-29168,Source2,3,2016-08-29 18:22:53,2016-08-29 18:52:53,37.830509,-122.294044,,,0.0,Accident on I-80 I-580 Westbound at Exit 19A I-80 I-580.,I-80 W,Oakland,Alameda,CA,94607,US,US/Pacific,KOAK,2016-08-29 17:53:00,70.0,,65.0,30.02,10.0,West,17.3,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-168440,Source2,2,2016-12-19 14:19:14,2016-12-19 15:04:03,41.760471,-87.974144,,,0.01,Accident on Holly Ave at Cass Ave.,S Cass Ave,Darien,DuPage,IL,60561,US,US/Central,KLOT,2016-12-19 14:15:00,13.1,-3.1,64.0,30.6,10.0,SSW,16.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-107111,Source2,2,2016-05-12 21:38:29,2016-05-12 22:08:29,33.997040000000005,-117.931015,,,0.01,Accident on CA-60 Eastbound at Exit 18 Azusa Ave. Approach with care.,S Azusa Ave,Rowland Heights,Los Angeles,CA,91748,US,US/Pacific,KFUL,2016-05-12 21:53:00,60.1,,86.0,30.0,10.0,South,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-28504,Source2,2,2016-08-24 09:12:36,2016-08-24 09:57:36,36.90419,-121.736084,,,0.0,#1 lane blocked due to accident on County Hwy-G11 San Juan Rd at Allison Ln.,San Juan Rd,Royal Oaks,Santa Cruz,CA,95076-5324,US,US/Pacific,KWVI,2016-08-24 08:53:00,57.9,,93.0,30.12,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194409,Source2,3,2016-12-01 08:25:13,2016-12-01 09:09:59,42.70504,-73.85374499999998,,,0.01,Accident on I-90 Eastbound at Exit 24 New York Trwy.,I-90 E,Albany,Albany,NY,12205,US,US/Eastern,KALB,2016-12-01 08:51:00,48.9,,71.0,29.58,10.0,WNW,11.5,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-20074,Source2,3,2016-09-14 19:30:12,2016-09-14 20:10:00,37.317268,-121.939301,,,0.0,Accident on I-280 Southbound at Exits 1C 5A 5B CA-17.,I-280 S,San Jose,Santa Clara,CA,95128,US,US/Pacific,KSJC,2016-09-14 19:53:00,66.9,,61.0,30.04,10.0,WNW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-143072,Source2,2,2016-07-06 10:25:41,2016-07-06 11:25:41,25.58083,-80.40505999999998,,,0.0,Accident on FL-994 200th St Westbound at 132nd Ave.,SW 200th St,Miami,Miami-Dade,FL,33177-6105,US,US/Eastern,KTMB,2016-07-06 10:53:00,89.1,,59.0,30.15,10.0,SE,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-125891,Source2,2,2016-11-03 10:03:29,2016-11-03 10:33:13,28.47526,-81.366089,,,0.01,Accident on Hoffner Ave at Randolph Ave.,Hoffner Ave,Orlando,Orange,FL,32809-4226,US,US/Eastern,KMCO,2016-11-03 09:53:00,75.0,,69.0,30.2,10.0,NNE,5.8,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-55048,Source2,2,2016-12-08 22:19:42,2016-12-08 23:04:18,33.994232000000004,-117.888687,,,0.01,#1 lane blocked due to accident on CA-60 Eastbound at Exit 20 Nogales St.,Pomona Fwy W,Rowland Heights,Los Angeles,CA,91748,US,US/Pacific,KFUL,2016-12-08 21:53:00,55.0,,77.0,30.25,10.0,East,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-107081,Source2,3,2016-05-12 19:54:23,2016-05-12 20:54:23,34.311798,-117.47506,,,0.01,Accident on CA-138 Eastbound at I-15. Expect delays.,CA-138,San Bernardino,San Bernardino,CA,92407,US,US/Pacific,KSBD,2016-05-12 19:47:00,82.4,,32.0,29.96,7.0,SW,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
